title,description,skills,pay,latitude,longitude
Expert Game Developer,"Manage eCommerce platforms and online stores using Shopify, WooCommerce, and Magento. for a leading tech company.","Network Engineering, Cisco, Juniper, Fortinet",613,86.082295968177,-72.66428625958726
Senior Transcriptionist,"Provide legal advice and consultancy services on contracts, trademarks, and compliance. for a high-profile client.","Animation, Adobe After Effects, Blender, 2D Animation",1556,-65.45141275807119,158.0077330219911
Skilled Technical Writer,"Create and execute digital marketing strategies using SEO, PPC, and social media marketing. for a high-profile client.","Business Analysis, Six Sigma, Process Improvement, Data Analysis",1512,37.44225900225409,-76.722685747155
Certified Animator,Manage projects using Agile methodologies and tools like Jira and Trello. to revamp an existing platform.,"eCommerce, Shopify, WooCommerce, Magento",1839,-83.42661955193888,2.3073094905558946
Experienced Animator,"Analyze data using Python, R, and SQL to provide actionable business insights. for a high-profile client.","Unity, C#, Unreal Engine, Game Development",697,-72.34404786147864,22.604600035823722
Senior DevOps Engineer,"Analyze large datasets to extract insights using SQL, Python, and R. to improve existing infrastructure.","Translation, Multilingual, Localization, Cultural Sensitivity",1126,-50.797122403908894,21.855104469112092
Junior Motion Graphics Designer,Assist with administrative tasks and scheduling using tools like Google Workspace and Microsoft Office. for a leading tech company.,"Recruitment, HR, LinkedIn, Staffing",171,-32.72633297610889,129.27422549238713
Junior Data Scientist,Write technical documentation for products and services using clear and concise language. for ongoing support.,"HR, Recruitment, Talent Acquisition, Employee Relations",1496,-44.1116456222147,174.8304882598025
Skilled Lead Generation Specialist,Assist with administrative tasks and scheduling using tools like Google Workspace and Microsoft Office. for a large-scale deployment.,"Unity, C#, Unreal Engine, Game Development",1402,50.647106442402105,47.93297943377624
Experienced UX/UI Designer,"Design and implement cloud architecture solutions using AWS, Azure, and Google Cloud. for ongoing support.","Video Editing, Adobe Premiere, After Effects, Motion Graphics",1948,-41.13541161114918,-35.05242533265232
Skilled Recruitment Consultant,"Design and implement cloud architecture solutions using AWS, Azure, and Google Cloud. to improve existing infrastructure.","Video Editing, Adobe Premiere, After Effects, Motion Graphics",1053,46.900041984707826,29.507393252492875
Skilled Machine Learning Engineer,"Design user interfaces and experiences using tools like Figma, Sketch, and Adobe XD. for a startup project.","Agile, Jira, Trello, Project Management",1978,57.78128146874798,1.8787841179155578
Skilled Cloud Architect,Assist with administrative tasks and scheduling using tools like Google Workspace and Microsoft Office. for a large-scale deployment.,"SEO, Content Writing, Blogging, WordPress",897,46.301133503382346,127.93478295662965
Junior Web Developer,"Develop backend services and APIs using Python, Ruby on Rails, and Java. for a quick turnaround project.","Data Analysis, Python, R, SQL, Tableau",933,-62.57152340672868,-52.05913937371301
Senior Voice Over Artist,"Develop backend services and APIs using Python, Ruby on Rails, and Java. for a startup project.","Copywriting, Creative Writing, Marketing Copy, Persuasion",1205,35.91699427951956,-130.17207016912434
Certified Sales Representative,Generate leads for businesses through research and outreach using LinkedIn and email marketing. for a large-scale deployment.,"IT Support, Troubleshooting, Network Management, Help Desk",1136,46.38452712559885,-165.5308057251939
Certified Technical Writer,Ensure the security of systems and data using penetration testing and cybersecurity best practices. for a high-profile client.,"Marketing Strategy, SEO, PPC, Brand Consulting",405,-8.319100446086537,-172.86524424689668
Certified Recruitment Consultant,Provide HR consultancy and recruitment services using industry best practices. for a leading tech company.,"Digital Marketing, SEO, PPC, Social Media Marketing",196,75.8459611708902,-117.97480043149858
Professional Mobile App Developer,Provide HR consultancy and recruitment services using industry best practices. for a long-term collaboration.,"Cloud Architecture, AWS, Azure, Google Cloud",1531,-29.04333882502943,67.8159959607791
Expert Project Manager,Write technical documentation for products and services using clear and concise language. for a large-scale deployment.,"Financial Analysis, Excel, QuickBooks, Financial Modeling",1730,72.04982560376797,69.05352784680085
Professional Photographer,Capture and edit photographs for clients using professional photography equipment. for a leading tech company.,"Software Development, C++, Java, Python",196,-37.28043874686726,71.37851009653804
Junior HR Consultant,Ensure the security of systems and data using penetration testing and cybersecurity best practices. for a quick turnaround project.,"Cybersecurity, Penetration Testing, Ethical Hacking, Network Security",1823,-47.022121481981294,49.78307908597628
Certified Cloud Architect,"Create 3D models for games, movies, and advertisements using Blender, Maya, and 3ds Max. for a leading tech company.","Virtual Assistance, Google Workspace, Microsoft Office, Scheduling",717,59.341466880204706,-4.764937895401488
Senior IT Support,"Develop frontend components of web applications using HTML, CSS, and JavaScript. to revamp an existing platform.","Cloud Architecture, AWS, Azure, Google Cloud",1565,-78.07325250222598,110.64753920245278
Junior Project Manager,"Design user interfaces and experiences using tools like Figma, Sketch, and Adobe XD. for a high-profile client.","SEO, Content Writing, Blogging, WordPress",1658,36.20216094083442,69.19596653770134
Expert Business Analyst,Sell products and services to customers using CRM tools and sales techniques. for a leading tech company.,"SQL, Python, R, Data Science",1060,-36.54545226736838,-114.24380212387518
Creative Web Developer,"Create 3D models for games, movies, and advertisements using Blender, Maya, and 3ds Max. for a large-scale deployment.","Cybersecurity, Penetration Testing, Ethical Hacking, Network Security",1423,-45.937863032905184,63.55363953328509
Junior 3D Modeler,Provide marketing strategies and consultancy services to improve brand visibility. for a large-scale deployment.,"Virtual Assistance, Google Workspace, Microsoft Office, Scheduling",259,-71.25796553563603,-174.01002672092173
Creative eCommerce Specialist,Generate leads for businesses through research and outreach using LinkedIn and email marketing. for a quick turnaround project.,"Animation, Adobe After Effects, Blender, 2D Animation",166,-88.02322599348923,169.82337533186353
Skilled Customer Support Specialist,"Implement and manage DevOps pipelines using Docker, Kubernetes, and Jenkins. for a quick turnaround project.","SEO, Content Writing, Blogging, WordPress",1511,-66.56384932353964,49.98217851033834
Senior Illustrator,Enter data into databases and systems with high accuracy and attention to detail. to launch a new product.,"Data Analysis, Python, R, SQL, Tableau",992,89.15808952731669,15.849275328180738
Expert Frontend Developer,Edit and produce videos for marketing and social media using Adobe Premiere and After Effects. to revamp an existing platform.,"Customer Support, CRM, Zendesk, Salesforce",322,85.36241630738073,100.26930321710893
Creative Legal Consultant,"Analyze large datasets to extract insights using SQL, Python, and R. for a high-profile client.","Blockchain, Solidity, Ethereum, Smart Contracts",218,-42.826888202398855,87.51351931728453
Experienced Animator,"Manage social media profiles and create engaging content for platforms like Instagram, Facebook, and LinkedIn. for ongoing support.","Illustration, Digital Art, Adobe Illustrator, Character Design",1791,-0.6871865827892805,-174.96071696953138
Professional Content Writer,Enter data into databases and systems with high accuracy and attention to detail. for a large-scale deployment.,"Blockchain, Solidity, Ethereum, Smart Contracts",966,-38.199771235574914,146.23415408056542
Certified Graphic Designer,"Analyze data using Python, R, and SQL to provide actionable business insights. to launch a new product.","QA Testing, Selenium, JUnit, TestNG",575,1.7183834765542514,-169.72735584081136
Professional Legal Consultant,"Develop artificial intelligence models and systems using Python, Keras, and PyTorch. for a quick turnaround project.","Business Analysis, Six Sigma, Process Improvement, Data Analysis",1802,-73.71262881622928,-111.6501879117868
Creative HR Consultant,"Design and implement cloud architecture solutions using AWS, Azure, and Google Cloud. for a high-profile client.","Digital Marketing, SEO, PPC, Social Media Marketing",1504,-53.46153401915953,101.84514632956643
Certified Technical Writer,Design motion graphics for videos and advertisements using Adobe After Effects and Cinema 4D. for ongoing support.,"3D Modeling, Blender, Maya, 3ds Max",751,4.393101612363964,15.776269456345801
Experienced Frontend Developer,"Develop software applications across various platforms using C++, Java, and Python. for a leading tech company.","Video Editing, Adobe Premiere, After Effects, Motion Graphics",1165,-20.01085991861281,-15.273693083292244
Experienced QA Tester,"Manage social media profiles and create engaging content for platforms like Instagram, Facebook, and LinkedIn. for a leading tech company.","IT Support, Troubleshooting, Network Management, Help Desk",1000,38.28466249757756,116.77583595951006
Expert Sales Representative,Capture and edit photographs for clients using professional photography equipment. for a high-profile client.,"Legal Consulting, Contracts, Trademarks, Compliance",1516,39.46906035231905,28.56770397235954
Skilled Legal Consultant,Design motion graphics for videos and advertisements using Adobe After Effects and Cinema 4D. to launch a new product.,"Business Analysis, Six Sigma, Process Improvement, Data Analysis",1148,-45.73880525234768,59.99172497673621
Creative Data Entry Specialist,"Build and train machine learning models using Python, TensorFlow, and scikit-learn. for a long-term collaboration.","Network Engineering, Cisco, Juniper, Fortinet",476,-20.363707342488127,-158.75003082689236
Expert Full Stack Developer,"Develop backend services and APIs using Python, Ruby on Rails, and Java. for a large-scale deployment.","Virtual Assistance, Google Workspace, Microsoft Office, Scheduling",425,48.505706352902536,-93.7688990917818
Experienced Social Media Manager,"Provide voice-over services for videos, advertisements, and audiobooks. for ongoing support.","AR/VR Development, Unity, Unreal Engine",1535,-87.23174645509422,63.45634461948541
Professional AI Developer,Provide customer support through various channels and manage CRM software. for a long-term collaboration.,"DevOps, Docker, Kubernetes, Jenkins",1506,-37.08057785357029,-124.56560268270124
Junior Blockchain Developer,Provide HR consultancy and recruitment services using industry best practices. for a high-profile client.,"Data Entry, Typing, Accuracy, Attention to Detail",840,89.92328108477506,-65.9561670168834
